DATAFLOW,MEASURE: Measure,ESTIMATE_TYPE: Estimate Type,SEX: Sex,SECTOR: Sector,INDUSTRY: Industry,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,CHANGE : Change Over Previous,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1994-Q4,454.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1995-Q2,452.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1995-Q4,462.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1996-Q2,472,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1996-Q4,481.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1997-Q2,499.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1997-Q4,499,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1998-Q2,496.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1998-Q4,526.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1999-Q2,516.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,1999-Q4,541.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2000-Q2,557.9,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2000-Q4,544.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2001-Q2,546.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2001-Q4,554.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2002-Q2,546,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2002-Q4,571.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2003-Q2,575,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2003-Q4,601.6,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2004-Q2,635,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2004-Q4,646.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2005-Q2,651.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2005-Q4,661,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2006-Q2,666.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2006-Q4,699.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2007-Q2,713.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2007-Q4,751.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2008-Q2,751.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2008-Q4,785.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2009-Q2,757.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2009-Q4,779.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2010-Q2,810.2,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2010-Q4,792.5,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2011-Q2,823.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2011-Q4,813.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2012-Q2,776.6,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2012-Q4,826,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2013-Q2,874.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2013-Q4,895.4,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2014-Q2,865.6,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2014-Q4,884.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2015-Q2,915.7,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2015-Q4,924.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2016-Q2,956.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2016-Q4,1041.8,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2017-Q2,965.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2017-Q4,1034.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2018-Q2,1056.3,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2018-Q4,1086.1,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2019-Q2,1048,AUD: Australian Dollars,,,
ABS:AWE(1.0.0), All employees average weekly total earnings,Earnings,2: Females,Private and Public,C: Manufacturing,Original,Australia,Q: Quarterly,2019-Q4,1010.4,AUD: Australian Dollars,,,
