DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1981-Q2,680,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1981-Q3,2002,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1981-Q4,441,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1982-Q1,494,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1982-Q2,621,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1982-Q3,504,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1982-Q4,394,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1983-Q1,34,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1983-Q2,578,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1983-Q3,444,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1983-Q4,221,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1984-Q1,-263,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1984-Q2,330,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1984-Q3,443,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1984-Q4,-67,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1985-Q1,370,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1985-Q2,1224,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1985-Q3,2104,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1985-Q4,2032,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1986-Q1,2522,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1986-Q2,2770,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1986-Q3,2068,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1986-Q4,1281,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1987-Q1,1584,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1987-Q2,1643,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1987-Q3,918,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1987-Q4,1143,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1988-Q1,1094,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1988-Q2,1119,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1988-Q3,1590,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1988-Q4,1425,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1989-Q1,461,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1989-Q2,1541,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1989-Q3,1338,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1989-Q4,872,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1990-Q1,716,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1990-Q2,86,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1990-Q3,267,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1990-Q4,-471,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1991-Q1,-1111,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1991-Q2,-476,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1991-Q3,-185,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1991-Q4,-87,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1992-Q1,-293,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1992-Q2,-749,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1992-Q3,534,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1992-Q4,-230,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1993-Q1,-1252,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1993-Q2,796,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1993-Q3,360,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1993-Q4,842,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1994-Q1,1096,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1994-Q2,1527,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1994-Q3,1487,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1994-Q4,541,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1995-Q1,1698,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1995-Q2,1375,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1995-Q3,1123,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1995-Q4,317,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1996-Q1,1188,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1996-Q2,1438,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1996-Q3,1289,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1996-Q4,994,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1997-Q1,1795,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1997-Q2,582,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1997-Q3,676,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1997-Q4,727,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1998-Q1,1312,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1998-Q2,512,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1998-Q3,838,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1998-Q4,-281,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1999-Q1,77,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1999-Q2,-338,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1999-Q3,-448,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,1999-Q4,-767,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2000-Q1,-674,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2000-Q2,-298,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2000-Q3,-660,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2000-Q4,-869,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2001-Q1,-669,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2001-Q2,-912,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2001-Q3,-627,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2001-Q4,-1229,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2002-Q1,-778,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2002-Q2,-948,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2002-Q3,-778,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2002-Q4,-899,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2003-Q1,-286,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2003-Q2,-9,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2003-Q3,410,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2003-Q4,344,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2004-Q1,686,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2004-Q2,655,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2004-Q3,463,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2004-Q4,508,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2005-Q1,739,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2005-Q2,531,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2005-Q3,992,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2005-Q4,556,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2006-Q1,1387,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2006-Q2,998,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2006-Q3,1076,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2006-Q4,1152,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2007-Q1,1490,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2007-Q2,1644,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2007-Q3,932,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2007-Q4,789,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2008-Q1,1757,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2008-Q2,1513,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2008-Q3,1684,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2008-Q4,1499,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2009-Q1,1356,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2009-Q2,473,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2009-Q3,218,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2009-Q4,398,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2010-Q1,810,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2010-Q2,693,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2010-Q3,1397,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0), Net Internal Migration, Western Australia,Q: Quarterly,2010-Q4,1557,NUM: Number,0: Units,,
