,quarter_id,state_id,net_change
0,8,553,565.0
1,8,2854,-6330.0
2,8,747,1806.0
3,8,2326,8558.0
4,8,2841,-1675.0
5,8,2273,-274.0
6,8,1287,-3330.0
7,8,3114,680.0
8,25,553,-15.0
9,25,2854,-7768.0
10,25,747,1264.0
11,25,2326,11740.0
12,25,2841,-1846.0
13,25,2273,-480.0
14,25,1287,-4897.0
15,25,3114,2002.0
16,45,553,-824.0
17,45,2854,-4528.0
18,45,747,935.0
19,45,2326,10128.0
20,45,2841,-988.0
21,45,2273,-810.0
22,45,1287,-4354.0
23,45,3114,441.0
24,59,553,-42.0
25,59,2854,-3824.0
26,59,747,468.0
27,59,2326,7005.0
28,59,2841,-602.0
29,59,2273,-106.0
30,59,1287,-3393.0
31,59,3114,494.0
32,83,553,711.0
33,83,2854,-3464.0
34,83,747,-598.0
35,83,2326,6580.0
36,83,2841,-1439.0
37,83,2273,-626.0
38,83,1287,-1785.0
39,83,3114,621.0
40,103,553,-430.0
41,103,2854,-5094.0
42,103,747,-47.0
43,103,2326,8184.0
44,103,2841,-722.0
45,103,2273,-555.0
46,103,1287,-1840.0
47,103,3114,504.0
48,117,553,-98.0
49,117,2854,-4193.0
50,117,747,174.0
51,117,2326,5730.0
52,117,2841,60.0
53,117,2273,-328.0
54,117,1287,-1739.0
55,117,3114,394.0
56,135,553,603.0
57,135,2854,-2809.0
58,135,747,285.0
59,135,2326,3430.0
60,135,2841,140.0
61,135,2273,-487.0
62,135,1287,-1196.0
63,135,3114,34.0
64,154,553,913.0
65,154,2854,-5085.0
66,154,747,118.0
67,154,2326,3487.0
68,154,2841,194.0
69,154,2273,156.0
70,154,1287,-361.0
71,154,3114,578.0
72,178,553,-229.0
73,178,2854,-2955.0
74,178,747,569.0
75,178,2326,2932.0
76,178,2841,406.0
77,178,2273,54.0
78,178,1287,-1221.0
79,178,3114,444.0
80,196,553,584.0
81,196,2854,-3333.0
82,196,747,394.0
83,196,2326,3080.0
84,196,2841,88.0
85,196,2273,105.0
86,196,1287,-1139.0
87,196,3114,221.0
88,212,553,84.0
89,212,2854,-1565.0
90,212,747,-221.0
91,212,2326,2310.0
92,212,2841,-185.0
93,212,2273,-5.0
94,212,1287,-155.0
95,212,3114,-263.0
96,230,553,503.0
97,230,2854,-2414.0
98,230,747,-16.0
99,230,2326,1637.0
100,230,2841,244.0
101,230,2273,541.0
102,230,1287,-825.0
103,230,3114,330.0
104,252,553,-153.0
105,252,2854,-2640.0
106,252,747,417.0
107,252,2326,3683.0
108,252,2841,-601.0
109,252,2273,106.0
110,252,1287,-1255.0
