DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1981-Q2,6191,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1981-Q3,4920,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1981-Q4,4756,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1982-Q1,6331,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1982-Q2,6081,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1982-Q3,4827,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1982-Q4,5350,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1983-Q1,6857,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1983-Q2,6926,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1983-Q3,5906,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1983-Q4,5340,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1984-Q1,6391,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1984-Q2,6450,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1984-Q3,5113,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1984-Q4,5097,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1985-Q1,5767,NUM: Number,0: Units,,
ABS:ERP_COMP_Q(1.0.0),3: Natural Increase,3: Queensland,Q: Quarterly,1985-Q2,6297,NUM: Number,0: Units,,
