,quarter_id,state_id,avg_earnings
0,1028,303,454.8
1,1067,303,452.2
2,1104,303,462.5
3,1147,303,472.0
4,1181,303,481.3
5,1218,303,499.9
6,1257,303,499.0
7,1294,303,496.9
8,1337,303,526.4
9,1371,303,516.2
10,1408,303,541.5
11,1446,303,557.9
12,1484,303,544.5
13,1522,303,546.7
14,1561,303,554.5
15,1598,303,546.0
16,1641,303,571.7
17,1675,303,575.0
18,1712,303,601.6
19,1751,303,635.0
20,1788,303,646.2
21,1831,303,651.7
22,1865,303,661.0
23,1902,303,666.2
24,1940,303,699.5
25,1978,303,713.1
26,2021,303,751.5
27,2055,303,751.5
28,2092,303,785.7
29,2130,303,757.2
30,2168,303,779.2
31,2211,303,810.2
32,2244,303,792.5
33,2282,303,823.8
34,2325,303,813.4
35,2359,303,776.6
36,2396,303,826.0
37,2435,303,874.8
38,2472,303,895.4
39,2515,303,865.6
40,2549,303,884.7
41,2586,303,915.7
42,2625,303,924.1
43,2662,303,956.3
44,2705,303,1041.8
45,2739,303,965.3
46,2776,303,1034.1
47,2815,303,1056.3
48,2852,303,1086.1
49,2895,303,1048.0
50,2929,303,1010.4
51,2966,303,1098.8
52,3004,303,1101.4
53,3047,303,1099.0
54,3085,303,1136.1
55,9999,303,1168.5
56,1028,303,257.5
57,1067,303,259.9
58,1104,303,270.1
59,1147,303,280.1
60,1181,303,285.3
61,1218,303,280.4
62,1257,303,295.3
63,1294,303,299.2
64,1337,303,304.2
65,1371,303,315.9
66,1408,303,314.4
67,1446,303,327.0
68,1484,303,335.3
69,1522,303,331.3
70,1561,303,348.1
71,1598,303,348.9
72,1641,303,364.4
73,1675,303,375.5
74,1712,303,370.8
75,1751,303,373.8
76,1788,303,404.2
77,1831,303,407.2
78,1865,303,411.1
79,1902,303,419.1
80,1940,303,436.8
81,1978,303,450.7
82,2021,303,482.1
83,2055,303,482.8
84,2092,303,512.9
85,2130,303,499.5
86,2168,303,492.9
87,2211,303,513.2
88,2244,303,535.7
89,2282,303,518.2
90,2325,303,542.9
91,2359,303,547.7
92,2396,303,554.7
93,2435,303,552.1
94,2472,303,575.7
95,2515,303,566.7
96,2549,303,581.5
97,2586,303,591.5
98,2625,303,628.2
99,2662,303,597.8
100,2705,303,599.2
101,2739,303,593.9
102,2776,303,636.7
103,2815,303,649.9
104,2852,303,670.3
105,2895,303,672.9
106,2929,303,715.2
107,2966,303,703.3
108,3004,303,650.2
109,3047,303,706.2
110,3085,303,711.1
111,9999,303,697.0
112,1028,303,320.7
113,1067,303,325.1
114,1104,303,335.5
115,1147,303,345.1
116,1181,303,352.2
117,1218,303,352.9
118,1257,303,366.0
119,1294,303,378.3
120,1337,303,374.5
121,1371,303,399.2
122,1408,303,394.3
123,1446,303,411.6
124,1484,303,415.3
125,1522,303,419.9
126,1561,303,440.1
127,1598,303,430.4
128,1641,303,456.1
129,1675,303,462.5
130,1712,303,473.8
131,1751,303,468.0
132,1788,303,500.9
133,1831,303,509.5
134,1865,303,522.8
135,1902,303,548.6
136,1940,303,551.7
137,1978,303,573.9
138,2021,303,596.5
139,2055,303,592.7
140,2092,303,614.6
141,2130,303,584.0
142,2168,303,591.4
143,2211,303,617.5
144,2244,303,612.0
145,2282,303,594.9
146,2325,303,624.3
147,2359,303,631.3
148,2396,303,647.1
149,2435,303,659.0
150,2472,303,672.1
151,2515,303,649.6
152,2549,303,669.8
153,2586,303,671.4
154,2625,303,703.7
155,2662,303,692.6
156,2705,303,687.6
157,2739,303,683.6
158,2776,303,723.0
159,2815,303,741.0
160,2852,303,762.7
161,2895,303,766.7
162,2929,303,813.2
163,2966,303,791.8
164,3004,303,750.7
165,3047,303,802.2
166,3085,303,806.9
167,9999,303,792.5
168,1028,303,661.8
169,1067,303,670.5
170,1104,303,691.2
171,1147,303,695.0
172,1181,303,689.9
173,1218,303,699.2
174,1257,303,722.6
175,1294,303,735.6
176,1337,303,771.0
177,1371,303,773.9
178,1408,303,783.8
179,1446,303,791.5
180,1484,303,780.1
181,1522,303,811.3
182,1561,303,837.1
183,1598,303,863.3
184,1641,303,914.5
185,1675,303,939.3
186,1712,303,976.6
187,1751,303,973.2
188,1788,303,995.0
189,1831,303,1005.9
190,1865,303,1037.8
191,1902,303,1059.3
192,1940,303,1091.9
193,1978,303,1073.8
194,2021,303,1113.5
195,2055,303,1119.7
196,2092,303,1152.5
197,2130,303,1123.1
198,2168,303,1189.3
199,2211,303,1176.4
200,2244,303,1205.3
201,2282,303,1243.9
202,2325,303,1263.0
203,2359,303,1243.9
204,2396,303,1277.9
205,2435,303,1336.9
206,2472,303,1368.8
207,2515,303,1344.3
208,2549,303,1409.7
209,2586,303,1389.4
210,2625,303,1393.3
211,2662,303,1400.6
212,2705,303,1385.4
213,2739,303,1377.1
214,2776,303,1417.0
215,2815,303,1409.3
216,2852,303,1448.1
217,2895,303,1471.0
218,2929,303,1514.5
219,2966,303,1495.9
220,3004,303,1601.5
221,3047,303,1573.3
222,3085,303,1594.2
223,9999,303,1591.9
224,1028,303,675.4
225,1067,303,685.3
226,1104,303,703.1
227,1147,303,720.9
228,1181,303,757.7
229,1218,303,766.8
230,1257,303,772.4
231,1294,303,799.9
232,1337,303,805.4
233,1371,303,835.3
234,1408,303,846.1
235,1446,303,868.6
236,1484,303,892.6
237,1522,303,903.0
238,1561,303,917.9
239,1598,303,929.6
240,1641,303,927.7
241,1675,303,944.0
242,1712,303,967.4
