measure_id,type_id,sector_id,industry_id,state_id,quarter_id,net_change
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1994-Q4,564.4
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1995-Q2,564.7
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1995-Q4,567.6
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1996-Q2,571.0
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1996-Q4,581.6
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1997-Q2,588.2
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1997-Q4,603.4
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1998-Q2,623.8
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1998-Q4,619.2
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1999-Q2,596.5
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,1999-Q4,617.0
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2000-Q2,665.7
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2000-Q4,671.4
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2001-Q2,677.9
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2001-Q4,683.4
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2002-Q2,674.2
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2002-Q4,706.0
1: All employees average weekly total earnings,1: Earnings,7: Private and Public,TOT: All Industries,7: Northern Territory,2003-Q2,728.2
