measure_id,state_id,quarter_id,net_change
3: Natural Increase,3: Queensland,1981-Q2,6191.0
3: Natural Increase,3: Queensland,1981-Q3,4920.0
3: Natural Increase,3: Queensland,1981-Q4,4756.0
3: Natural Increase,3: Queensland,1982-Q1,6331.0
3: Natural Increase,3: Queensland,1982-Q2,6081.0
3: Natural Increase,3: Queensland,1982-Q3,4827.0
3: Natural Increase,3: Queensland,1982-Q4,5350.0
3: Natural Increase,3: Queensland,1983-Q1,6857.0
3: Natural Increase,3: Queensland,1983-Q2,6926.0
3: Natural Increase,3: Queensland,1983-Q3,5906.0
3: Natural Increase,3: Queensland,1983-Q4,5340.0
3: Natural Increase,3: Queensland,1984-Q1,6391.0
3: Natural Increase,3: Queensland,1984-Q2,6450.0
3: Natural Increase,3: Queensland,1984-Q3,5113.0
3: Natural Increase,3: Queensland,1984-Q4,5097.0
3: Natural Increase,3: Queensland,1985-Q1,5767.0
3: Natural Increase,3: Queensland,1985-Q2,6297.0
3: Natural Increase,3: Queensland,1985-Q3,4500.0
3: Natural Increase,3: Queensland,1985-Q4,5234.0
3: Natural Increase,3: Queensland,1986-Q1,5512.0
3: Natural Increase,3: Queensland,1986-Q2,6533.0
3: Natural Increase,3: Queensland,1986-Q3,5345.0
3: Natural Increase,3: Queensland,1986-Q4,5120.0
3: Natural Increase,3: Queensland,1987-Q1,5556.0
3: Natural Increase,3: Queensland,1987-Q2,5754.0
3: Natural Increase,3: Queensland,1987-Q3,4640.0
3: Natural Increase,3: Queensland,1987-Q4,4554.0
3: Natural Increase,3: Queensland,1988-Q1,5691.0
3: Natural Increase,3: Queensland,1988-Q2,5573.0
3: Natural Increase,3: Queensland,1988-Q3,4843.0
3: Natural Increase,3: Queensland,1988-Q4,5651.0
3: Natural Increase,3: Queensland,1989-Q1,5872.0
3: Natural Increase,3: Queensland,1989-Q2,5966.0
3: Natural Increase,3: Queensland,1989-Q3,4898.0
3: Natural Increase,3: Queensland,1989-Q4,4890.0
3: Natural Increase,3: Queensland,1990-Q1,6762.0
3: Natural Increase,3: Queensland,1990-Q2,7064.0
3: Natural Increase,3: Queensland,1990-Q3,6011.0
3: Natural Increase,3: Queensland,1990-Q4,5710.0
3: Natural Increase,3: Queensland,1991-Q1,6377.0
3: Natural Increase,3: Queensland,1991-Q2,6949.0
3: Natural Increase,3: Queensland,1991-Q3,5929.0
3: Natural Increase,3: Queensland,1991-Q4,6086.0
3: Natural Increase,3: Queensland,1992-Q1,7046.0
3: Natural Increase,3: Queensland,1992-Q2,6785.0
3: Natural Increase,3: Queensland,1992-Q3,5806.0
3: Natural Increase,3: Queensland,1992-Q4,6301.0
3: Natural Increase,3: Queensland,1993-Q1,7057.0
3: Natural Increase,3: Queensland,1993-Q2,6905.0
3: Natural Increase,3: Queensland,1993-Q3,6503.0
3: Natural Increase,3: Queensland,1993-Q4,6378.0
3: Natural Increase,3: Queensland,1994-Q1,6803.0
3: Natural Increase,3: Queensland,1994-Q2,6501.0
3: Natural Increase,3: Queensland,1994-Q3,5616.0
3: Natural Increase,3: Queensland,1994-Q4,6446.0
3: Natural Increase,3: Queensland,1995-Q1,7243.0
3: Natural Increase,3: Queensland,1995-Q2,6749.0
3: Natural Increase,3: Queensland,1995-Q3,6248.0
3: Natural Increase,3: Queensland,1995-Q4,6047.0
3: Natural Increase,3: Queensland,1996-Q1,6658.0
3: Natural Increase,3: Queensland,1996-Q2,6348.0
3: Natural Increase,3: Queensland,1996-Q3,5575.0
3: Natural Increase,3: Queensland,1996-Q4,6114.0
3: Natural Increase,3: Queensland,1997-Q1,6527.0
3: Natural Increase,3: Queensland,1997-Q2,7370.0
3: Natural Increase,3: Queensland,1997-Q3,5750.0
3: Natural Increase,3: Queensland,1997-Q4,5754.0
3: Natural Increase,3: Queensland,1998-Q1,6635.0
3: Natural Increase,3: Queensland,1998-Q2,6508.0
3: Natural Increase,3: Queensland,1998-Q3,5821.0
3: Natural Increase,3: Queensland,1998-Q4,5675.0
3: Natural Increase,3: Queensland,1999-Q1,6818.0
3: Natural Increase,3: Queensland,1999-Q2,6122.0
3: Natural Increase,3: Queensland,1999-Q3,5774.0
3: Natural Increase,3: Queensland,1999-Q4,5843.0
3: Natural Increase,3: Queensland,2000-Q1,7000.0
3: Natural Increase,3: Queensland,2000-Q2,6035.0
3: Natural Increase,3: Queensland,2000-Q3,6012.0
3: Natural Increase,3: Queensland,2000-Q4,6055.0
3: Natural Increase,3: Queensland,2001-Q1,6724.0
3: Natural Increase,3: Queensland,2001-Q2,6597.0
3: Natural Increase,3: Queensland,2001-Q3,6235.0
3: Natural Increase,3: Queensland,2001-Q4,5842.0
3: Natural Increase,3: Queensland,2002-Q1,6471.0
3: Natural Increase,3: Queensland,2002-Q2,6306.0
3: Natural Increase,3: Queensland,2002-Q3,5268.0
3: Natural Increase,3: Queensland,2002-Q4,5756.0
3: Natural Increase,3: Queensland,2003-Q1,6667.0
3: Natural Increase,3: Queensland,2003-Q2,6644.0
3: Natural Increase,3: Queensland,2003-Q3,5992.0
3: Natural Increase,3: Queensland,2003-Q4,6439.0
3: Natural Increase,3: Queensland,2004-Q1,6747.0
3: Natural Increase,3: Queensland,2004-Q2,6123.0
3: Natural Increase,3: Queensland,2004-Q3,6282.0
3: Natural Increase,3: Queensland,2004-Q4,5946.0
3: Natural Increase,3: Queensland,2005-Q1,7736.0
3: Natural Increase,3: Queensland,2005-Q2,8103.0
3: Natural Increase,3: Queensland,2005-Q3,7193.0
3: Natural Increase,3: Queensland,2005-Q4,7038.0
3: Natural Increase,3: Queensland,2006-Q1,7851.0
3: Natural Increase,3: Queensland,2006-Q2,7497.0
3: Natural Increase,3: Queensland,2006-Q3,7836.0
3: Natural Increase,3: Queensland,2006-Q4,7731.0
3: Natural Increase,3: Queensland,2007-Q1,8927.0
3: Natural Increase,3: Queensland,2007-Q2,8649.0
3: Natural Increase,3: Queensland,2007-Q3,8511.0
3: Natural Increase,3: Queensland,2007-Q4,8441.0
3: Natural Increase,3: Queensland,2008-Q1,9382.0
3: Natural Increase,3: Queensland,2008-Q2,9224.0
3: Natural Increase,3: Queensland,2008-Q3,8487.0
3: Natural Increase,3: Queensland,2008-Q4,8940.0
3: Natural Increase,3: Queensland,2009-Q1,9695.0
3: Natural Increase,3: Queensland,2009-Q2,9397.0
3: Natural Increase,3: Queensland,2009-Q3,8739.0
3: Natural Increase,3: Queensland,2009-Q4,8697.0
3: Natural Increase,3: Queensland,2010-Q1,9767.0
3: Natural Increase,3: Queensland,2010-Q2,9395.0
3: Natural Increase,3: Queensland,2010-Q3,8880.0
3: Natural Increase,3: Queensland,2010-Q4,8240.0
3: Natural Increase,3: Queensland,2011-Q1,9503.0
3: Natural Increase,3: Queensland,2011-Q2,9181.0
3: Natural Increase,3: Queensland,2011-Q3,7918.0
3: Natural Increase,3: Queensland,2011-Q4,8353.0
3: Natural Increase,3: Queensland,2012-Q1,10084.0
3: Natural Increase,3: Queensland,2012-Q2,9078.0
3: Natural Increase,3: Queensland,2012-Q3,8099.0
3: Natural Increase,3: Queensland,2012-Q4,9176.0
3: Natural Increase,3: Queensland,2013-Q1,9423.0
3: Natural Increase,3: Queensland,2013-Q2,8829.0
3: Natural Increase,3: Queensland,2013-Q3,8752.0
3: Natural Increase,3: Queensland,2013-Q4,8444.0
3: Natural Increase,3: Queensland,2014-Q1,9665.0
3: Natural Increase,3: Queensland,2014-Q2,8760.0
3: Natural Increase,3: Queensland,2014-Q3,8153.0
3: Natural Increase,3: Queensland,2014-Q4,8375.0
3: Natural Increase,3: Queensland,2015-Q1,8412.0
3: Natural Increase,3: Queensland,2015-Q2,8177.0
3: Natural Increase,3: Queensland,2015-Q3,7576.0
3: Natural Increase,3: Queensland,2015-Q4,7410.0
3: Natural Increase,3: Queensland,2016-Q1,9012.0
3: Natural Increase,3: Queensland,2016-Q2,8388.0
3: Natural Increase,3: Queensland,2016-Q3,7657.0
3: Natural Increase,3: Queensland,2016-Q4,7296.0
3: Natural Increase,3: Queensland,2017-Q1,7949.0
3: Natural Increase,3: Queensland,2017-Q2,7705.0
3: Natural Increase,3: Queensland,2017-Q3,6696.0
3: Natural Increase,3: Queensland,2017-Q4,6754.0
3: Natural Increase,3: Queensland,2018-Q1,8262.0
3: Natural Increase,3: Queensland,2018-Q2,7644.0
3: Natural Increase,3: Queensland,2018-Q3,6959.0
3: Natural Increase,3: Queensland,2018-Q4,7181.0
3: Natural Increase,3: Queensland,2019-Q1,7908.0
3: Natural Increase,3: Queensland,2019-Q2,7832.0
3: Natural Increase,3: Queensland,2019-Q3,6416.0
3: Natural Increase,3: Queensland,2019-Q4,6808.0
3: Natural Increase,3: Queensland,2020-Q1,7273.0
3: Natural Increase,3: Queensland,2020-Q2,7542.0
3: Natural Increase,3: Queensland,2020-Q3,6978.0
3: Natural Increase,3: Queensland,2020-Q4,6303.0
3: Natural Increase,3: Queensland,2021-Q1,8517.0
3: Natural Increase,3: Queensland,2021-Q2,7736.0
3: Natural Increase,3: Queensland,2021-Q3,7576.0
3: Natural Increase,3: Queensland,2021-Q4,6649.0
3: Natural Increase,3: Queensland,2022-Q1,6372.0
6: Net Internal Migration,5: Western Australia,1981-Q2,680.0
6: Net Internal Migration,5: Western Australia,1981-Q3,2002.0
6: Net Internal Migration,5: Western Australia,1981-Q4,441.0
6: Net Internal Migration,5: Western Australia,1982-Q1,494.0
6: Net Internal Migration,5: Western Australia,1982-Q2,621.0
6: Net Internal Migration,5: Western Australia,1982-Q3,504.0
6: Net Internal Migration,5: Western Australia,1982-Q4,394.0
6: Net Internal Migration,5: Western Australia,1983-Q1,34.0
6: Net Internal Migration,5: Western Australia,1983-Q2,578.0
6: Net Internal Migration,5: Western Australia,1983-Q3,444.0
6: Net Internal Migration,5: Western Australia,1983-Q4,221.0
6: Net Internal Migration,5: Western Australia,1984-Q1,-263.0
6: Net Internal Migration,5: Western Australia,1984-Q2,330.0
6: Net Internal Migration,5: Western Australia,1984-Q3,443.0
6: Net Internal Migration,5: Western Australia,1984-Q4,-67.0
6: Net Internal Migration,5: Western Australia,1985-Q1,370.0
6: Net Internal Migration,5: Western Australia,1985-Q2,1224.0
6: Net Internal Migration,5: Western Australia,1985-Q3,2104.0
6: Net Internal Migration,5: Western Australia,1985-Q4,2032.0
6: Net Internal Migration,5: Western Australia,1986-Q1,2522.0
6: Net Internal Migration,5: Western Australia,1986-Q2,2770.0
6: Net Internal Migration,5: Western Australia,1986-Q3,2068.0
6: Net Internal Migration,5: Western Australia,1986-Q4,1281.0
6: Net Internal Migration,5: Western Australia,1987-Q1,1584.0
6: Net Internal Migration,5: Western Australia,1987-Q2,1643.0
6: Net Internal Migration,5: Western Australia,1987-Q3,918.0
6: Net Internal Migration,5: Western Australia,1987-Q4,1143.0
6: Net Internal Migration,5: Western Australia,1988-Q1,1094.0
6: Net Internal Migration,5: Western Australia,1988-Q2,1119.0
6: Net Internal Migration,5: Western Australia,1988-Q3,1590.0
6: Net Internal Migration,5: Western Australia,1988-Q4,1425.0
6: Net Internal Migration,5: Western Australia,1989-Q1,461.0
6: Net Internal Migration,5: Western Australia,1989-Q2,1541.0
6: Net Internal Migration,5: Western Australia,1989-Q3,1338.0
6: Net Internal Migration,5: Western Australia,1989-Q4,872.0
6: Net Internal Migration,5: Western Australia,1990-Q1,716.0
6: Net Internal Migration,5: Western Australia,1990-Q2,86.0
6: Net Internal Migration,5: Western Australia,1990-Q3,267.0
6: Net Internal Migration,5: Western Australia,1990-Q4,-471.0
6: Net Internal Migration,5: Western Australia,1991-Q1,-1111.0
6: Net Internal Migration,5: Western Australia,1991-Q2,-476.0
6: Net Internal Migration,5: Western Australia,1991-Q3,-185.0
6: Net Internal Migration,5: Western Australia,1991-Q4,-87.0
6: Net Internal Migration,5: Western Australia,1992-Q1,-293.0
6: Net Internal Migration,5: Western Australia,1992-Q2,-749.0
6: Net Internal Migration,5: Western Australia,1992-Q3,534.0
6: Net Internal Migration,5: Western Australia,1992-Q4,-230.0
6: Net Internal Migration,5: Western Australia,1993-Q1,-1252.0
6: Net Internal Migration,5: Western Australia,1993-Q2,796.0
6: Net Internal Migration,5: Western Australia,1993-Q3,360.0
6: Net Internal Migration,5: Western Australia,1993-Q4,842.0
6: Net Internal Migration,5: Western Australia,1994-Q1,1096.0
6: Net Internal Migration,5: Western Australia,1994-Q2,1527.0
6: Net Internal Migration,5: Western Australia,1994-Q3,1487.0
6: Net Internal Migration,5: Western Australia,1994-Q4,541.0
6: Net Internal Migration,5: Western Australia,1995-Q1,1698.0
6: Net Internal Migration,5: Western Australia,1995-Q2,1375.0
6: Net Internal Migration,5: Western Australia,1995-Q3,1123.0
6: Net Internal Migration,5: Western Australia,1995-Q4,317.0
6: Net Internal Migration,5: Western Australia,1996-Q1,1188.0
6: Net Internal Migration,5: Western Australia,1996-Q2,1438.0
6: Net Internal Migration,5: Western Australia,1996-Q3,1289.0
6: Net Internal Migration,5: Western Australia,1996-Q4,994.0
6: Net Internal Migration,5: Western Australia,1997-Q1,1795.0
6: Net Internal Migration,5: Western Australia,1997-Q2,582.0
6: Net Internal Migration,5: Western Australia,1997-Q3,676.0
6: Net Internal Migration,5: Western Australia,1997-Q4,727.0
6: Net Internal Migration,5: Western Australia,1998-Q1,1312.0
6: Net Internal Migration,5: Western Australia,1998-Q2,512.0
6: Net Internal Migration,5: Western Australia,1998-Q3,838.0
6: Net Internal Migration,5: Western Australia,1998-Q4,-281.0
6: Net Internal Migration,5: Western Australia,1999-Q1,77.0
6: Net Internal Migration,5: Western Australia,1999-Q2,-338.0
6: Net Internal Migration,5: Western Australia,1999-Q3,-448.0
6: Net Internal Migration,5: Western Australia,1999-Q4,-767.0
6: Net Internal Migration,5: Western Australia,2000-Q1,-674.0
6: Net Internal Migration,5: Western Australia,2000-Q2,-298.0
6: Net Internal Migration,5: Western Australia,2000-Q3,-660.0
6: Net Internal Migration,5: Western Australia,2000-Q4,-869.0
6: Net Internal Migration,5: Western Australia,2001-Q1,-669.0
6: Net Internal Migration,5: Western Australia,2001-Q2,-912.0
6: Net Internal Migration,5: Western Australia,2001-Q3,-627.0
6: Net Internal Migration,5: Western Australia,2001-Q4,-1229.0
6: Net Internal Migration,5: Western Australia,2002-Q1,-778.0
6: Net Internal Migration,5: Western Australia,2002-Q2,-948.0
6: Net Internal Migration,5: Western Australia,2002-Q3,-778.0
6: Net Internal Migration,5: Western Australia,2002-Q4,-899.0
6: Net Internal Migration,5: Western Australia,2003-Q1,-286.0
6: Net Internal Migration,5: Western Australia,2003-Q2,-9.0
6: Net Internal Migration,5: Western Australia,2003-Q3,410.0
6: Net Internal Migration,5: Western Australia,2003-Q4,344.0
6: Net Internal Migration,5: Western Australia,2004-Q1,686.0
6: Net Internal Migration,5: Western Australia,2004-Q2,655.0
6: Net Internal Migration,5: Western Australia,2004-Q3,463.0
6: Net Internal Migration,5: Western Australia,2004-Q4,508.0
6: Net Internal Migration,5: Western Australia,2005-Q1,739.0
6: Net Internal Migration,5: Western Australia,2005-Q2,531.0
6: Net Internal Migration,5: Western Australia,2005-Q3,992.0
6: Net Internal Migration,5: Western Australia,2005-Q4,556.0
6: Net Internal Migration,5: Western Australia,2006-Q1,1387.0
6: Net Internal Migration,5: Western Australia,2006-Q2,998.0
6: Net Internal Migration,5: Western Australia,2006-Q3,1076.0
6: Net Internal Migration,5: Western Australia,2006-Q4,1152.0
6: Net Internal Migration,5: Western Australia,2007-Q1,1490.0
6: Net Internal Migration,5: Western Australia,2007-Q2,1644.0
6: Net Internal Migration,5: Western Australia,2007-Q3,932.0
6: Net Internal Migration,5: Western Australia,2007-Q4,789.0
6: Net Internal Migration,5: Western Australia,2008-Q1,1757.0
6: Net Internal Migration,5: Western Australia,2008-Q2,1513.0
6: Net Internal Migration,5: Western Australia,2008-Q3,1684.0
6: Net Internal Migration,5: Western Australia,2008-Q4,1499.0
6: Net Internal Migration,5: Western Australia,2009-Q1,1356.0
6: Net Internal Migration,5: Western Australia,2009-Q2,473.0
6: Net Internal Migration,5: Western Australia,2009-Q3,218.0
6: Net Internal Migration,5: Western Australia,2009-Q4,398.0
6: Net Internal Migration,5: Western Australia,2010-Q1,810.0
6: Net Internal Migration,5: Western Australia,2010-Q2,693.0
6: Net Internal Migration,5: Western Australia,2010-Q3,1397.0
6: Net Internal Migration,5: Western Australia,2010-Q4,1557.0
