,quarter_id,state_id,net_change
0,8,303,78.0
1,8,303,78.0
2,8,553,0.0
3,8,553,565.0
4,8,2854,-6330.0
5,8,2854,0.0
6,8,747,1806.0
7,8,747,0.0
8,8,2326,8558.0
9,8,2326,0.0
10,8,2841,0.0
11,8,2841,-1675.0
12,8,2273,-274.0
13,8,2273,0.0
14,8,1287,0.0
15,8,1287,-3330.0
16,8,3114,680.0
17,8,3114,0.0
18,25,303,65.4
19,25,303,76.6
20,25,303,76.6
21,25,553,1201.0
22,25,553,-15.0
23,25,2854,-7768.0
24,25,2854,14566.0
25,25,747,1264.0
26,25,747,2570.0
27,25,2326,11740.0
28,25,2326,22269.0
29,25,2841,2466.0
30,25,2841,-1846.0
31,25,2273,-480.0
32,25,2273,701.0
33,25,1287,10416.0
34,25,1287,-4897.0
35,25,3114,2002.0
36,25,3114,11228.0
37,45,303,65.4
38,45,303,65.9
39,45,303,65.9
40,45,553,702.0
41,45,553,-824.0
42,45,2854,-4528.0
43,45,2854,17439.0
44,45,747,935.0
45,45,747,2532.0
46,45,2326,10128.0
47,45,2326,20466.0
48,45,2841,3941.0
49,45,2841,-988.0
50,45,2273,-810.0
51,45,2273,358.0
52,45,1287,11065.0
53,45,1287,-4354.0
54,45,3114,441.0
55,45,3114,8937.0
56,59,303,67.6
57,59,303,70.3
58,59,303,70.3
59,59,553,1506.0
60,59,553,-42.0
61,59,2854,-3824.0
62,59,2854,19225.0
63,59,747,468.0
64,59,747,1875.0
65,59,2326,7005.0
66,59,2326,18412.0
67,59,2841,3494.0
68,59,2841,-602.0
69,59,2273,-106.0
70,59,2273,1162.0
71,59,1287,12428.0
72,59,1287,-3393.0
73,59,3114,494.0
74,59,3114,9479.0
75,83,303,62.5
76,83,303,81.7
77,83,303,81.7
78,83,553,2055.0
79,83,553,711.0
80,83,2854,-3464.0
81,83,2854,17461.0
82,83,747,-598.0
83,83,747,721.0
84,83,2326,6580.0
85,83,2326,18231.0
86,83,2841,2438.0
87,83,2841,-1439.0
88,83,2273,-626.0
89,83,2273,400.0
90,83,1287,12044.0
91,83,1287,-1785.0
92,83,3114,621.0
93,83,3114,9199.0
94,103,303,55.0
95,103,303,66.9
96,103,303,66.9
97,103,553,733.0
98,103,553,-430.0
99,103,2854,-5094.0
100,103,2854,12266.0
101,103,747,-47.0
102,103,747,1203.0
103,103,2326,8184.0
104,103,2326,18326.0
105,103,2841,2982.0
106,103,2841,-722.0
107,103,2273,-555.0
108,103,2273,463.0
109,103,1287,9861.0
110,103,1287,-1840.0
111,103,3114,504.0
112,103,3114,9197.0
113,117,303,49.6
114,117,303,58.7
115,117,303,58.7
116,117,553,1218.0
117,117,553,-98.0
118,117,2854,-4193.0
119,117,2854,12375.0
120,117,747,174.0
121,117,747,1267.0
122,117,2326,5730.0
123,117,2326,13563.0
124,117,2841,3693.0
125,117,2841,60.0
126,117,2273,-328.0
127,117,2273,666.0
128,117,1287,9956.0
129,117,1287,-1739.0
130,117,3114,394.0
131,117,3114,6875.0
132,135,303,57.4
133,135,303,57.5
134,135,303,57.5
135,135,553,1995.0
136,135,553,603.0
137,135,2854,-2809.0
138,135,2854,15806.0
139,135,747,285.0
140,135,747,1745.0
141,135,2326,3430.0
142,135,2326,13234.0
143,135,2841,4410.0
144,135,2841,140.0
145,135,2273,-487.0
146,135,2273,691.0
147,135,1287,12567.0
148,135,1287,-1196.0
149,135,3114,34.0
150,135,3114,6903.0
151,154,303,47.2
152,154,303,71.0
153,154,303,71.0
154,154,553,1992.0
155,154,553,913.0
156,154,2854,-5085.0
157,154,2854,8932.0
158,154,747,118.0
159,154,747,1387.0
160,154,2326,3487.0
161,154,2326,12573.0
162,154,2841,3582.0
163,154,2841,194.0
164,154,2273,156.0
165,154,2273,1140.0
166,154,1287,10448.0
167,154,1287,-361.0
168,154,3114,578.0
169,154,3114,7176.0
170,178,303,45.5
171,178,303,62.4
172,178,303,62.4
173,178,553,1072.0
174,178,553,-229.0
175,178,2854,-2955.0
176,178,2854,10785.0
177,178,747,569.0
178,178,747,2026.0
179,178,2326,2932.0
180,178,2326,11091.0
181,178,2841,3778.0
182,178,2841,406.0
183,178,2273,54.0
184,178,2273,1104.0
185,178,1287,9483.0
186,178,1287,-1221.0
187,178,3114,444.0
188,178,3114,6194.0
189,196,303,44.5
190,196,303,52.4
191,196,303,52.4
192,196,553,1905.0
193,196,553,584.0
194,196,2854,-3333.0
195,196,2854,11171.0
196,196,747,394.0
197,196,747,1577.0
